frame,time_sec,track_id,class_id,class_name,center_x,center_y,conf,speed_kmh,exceeded
1,0.033366700033366704,1,2,car,1109,128,0.8319237232208252,,0
1,0.033366700033366704,2,2,car,1799,79,0.8004828691482544,,0
1,0.033366700033366704,3,2,car,1010,78,0.778899073600769,,0
1,0.033366700033366704,4,2,car,1037,131,0.7170900702476501,,0
1,0.033366700033366704,5,2,car,980,49,0.6649870276451111,,0
1,0.033366700033366704,6,2,car,1028,47,0.6333275437355042,,0
1,0.033366700033366704,7,2,car,1732,79,0.5643524527549744,,0
1,0.033366700033366704,8,2,car,1696,69,0.25071555376052856,,0
2,0.06673340006673341,1,2,car,1109,131,0.8085128664970398,12.94704,0
2,0.06673340006673341,2,2,car,1791,78,0.7778298854827881,34.79412451917708,0
2,0.06673340006673341,3,2,car,1010,79,0.795795738697052,4.3156799999999995,0
2,0.06673340006673341,4,2,car,1037,134,0.7546778917312622,12.94704,0
2,0.06673340006673341,5,2,car,980,49,0.701597273349762,0.0,0
2,0.06673340006673341,6,2,car,1029,47,0.6384488344192505,4.3156799999999995,0
2,0.06673340006673341,7,2,car,1724,78,0.5060030817985535,34.79412451917708,0
3,0.1001001001001001,1,2,car,1110,133,0.7730889916419983,11.002868267211054,0
3,0.1001001001001001,2,2,car,1784,77,0.7591182589530945,32.654044521657646,0
3,0.1001001001001001,3,2,car,1011,80,0.796318531036377,4.825076924568146,0
3,0.1001001001001001,4,2,car,1038,136,0.7538214325904846,11.002868267211054,0
3,0.1001001001001001,5,2,car,980,49,0.746845006942749,0.0,0
3,0.1001001001001001,6,2,car,1029,47,0.5429012775421143,2.1578399999999998,0
3,0.1001001001001001,7,2,car,1714,77,0.6299787163734436,39.08014453295688,0
4,0.13346680013346682,1,2,car,1111,134,0.7725332379341125,9.09825230162365,0
4,0.13346680013346682,2,2,car,1782,77,0.7587459087371826,24.62418075723129,0
4,0.13346680013346682,3,2,car,1012,80,0.7956061363220215,4.068862124574879,0
4,0.13346680013346682,4,2,car,1039,136,0.7533771991729736,7.746882684951411,0
4,0.13346680013346682,5,2,car,981,49,0.7461802959442139,1.43856,0
4,0.13346680013346682,6,2,car,1030,47,0.5433512926101685,2.87712,0
4,0.13346680013346682,7,2,car,1712,76,0.6308027505874634,29.09307552154636,0
4,0.13346680013346682,9,2,car,1120,31,0.3542110025882721,,0
5,0.16683350016683351,1,2,car,1113,135,0.7743692398071289,8.69853112979427,0
5,0.16683350016683351,2,2,car,1775,75,0.7172804474830627,26.251256596757415,0
5,0.16683350016683351,3,2,car,1011,81,0.8170726299285889,3.411844613108868,0
5,0.16683350016683351,4,2,car,1040,138,0.7419254779815674,8.216809919378688,0
5,0.16683350016683351,5,2,car,981,50,0.7847439646720886,1.5258232967155796,0
5,0.16683350016683351,6,2,car,1031,48,0.552331268787384,3.411844613108868,0
5,0.16683350016683351,7,2,car,1704,74,0.4139028489589691,30.687640971857054,0
5,0.16683350016683351,9,2,car,1121,30,0.4616205394268036,6.103293186862318,0
6,0.2002002002002002,1,2,car,1116,137,0.7830551266670227,9.841264557183695,0
6,0.2002002002002002,2,2,car,1767,74,0.7311393022537231,27.95548136710051,0
6,0.2002002002002002,3,2,car,1013,82,0.8161018490791321,4.3156799999999995,0
6,0.2002002002002002,4,2,car,1040,141,0.7547878623008728,9.011404398875015,0
6,0.2002002002002002,5,2,car,981,50,0.8004124760627747,1.2206586373724637,0
6,0.2002002002002002,6,2,car,1033,48,0.5766221880912781,4.401147306884422,0
6,0.2002002002002002,7,2,car,1695,73,0.478615939617157,32.353211201778414,0
6,0.2002002002002002,9,2,car,1123,30,0.5222941040992737,6.823689226217736,0
7,0.2335669002335669,1,2,car,1119,140,0.7984412312507629,11.235512773772276,0
7,0.2335669002335669,2,2,car,1758,73,0.7110617160797119,29.804588648273604,0
7,0.2335669002335669,3,2,car,1013,83,0.845107913017273,4.194087078924327,0
7,0.2335669002335669,4,2,car,1041,143,0.7591644525527954,9.09825230162365,0
7,0.2335669002335669,5,2,car,982,51,0.7775700092315674,2.0344310622874393,0
7,0.2335669002335669,6,2,car,1034,49,0.5503202080726624,4.549126150811825,0
7,0.2335669002335669,7,2,car,1688,72,0.4763511121273041,32.04632554637114,0
7,0.2335669002335669,9,2,car,1124,30,0.6166561841964722,5.931334828788541,0
8,0.26693360026693363,1,2,car,1123,142,0.7638667821884155,12.206586373724639,0
8,0.26693360026693363,2,2,car,1750,71,0.7058190107345581,30.609741136860873,0
8,0.26693360026693363,3,2,car,1015,84,0.7877375483512878,4.815219760188118,0
8,0.26693360026693363,4,2,car,1043,147,0.7792854905128479,10.535196023883417,0
8,0.26693360026693363,5,2,car,984,51,0.6960530877113342,2.7571868140389406,0
8,0.26693360026693363,6,2,car,1035,49,0.533970832824707,4.488374949567164,0
8,0.26693360026693363,7,2,car,1679,69,0.41719597578048706,33.25240456111947,0
8,0.26693360026693363,9,2,car,1127,30,0.6406084895133972,7.629116483577897,0
9,0.3003003003003003,1,2,car,1126,144,0.7548112273216248,12.59382050539073,0
9,0.3003003003003003,2,2,car,1742,69,0.6979349255561829,31.218844305457562,0
9,0.3003003003003003,3,2,car,1015,84,0.765784502029419,4.2133172901646025,0
9,0.3003003003003003,4,2,car,1044,150,0.7603787183761597,10.923232468276044,0
9,0.3003003003003003,5,2,car,984,52,0.7378718256950378,2.6973,0
9,0.3003003003003003,6,2,car,1036,49,0.5602524876594543,4.448501121591406,0
9,0.3003003003003003,7,2,car,1669,67,0.45926612615585327,34.59701284433094,0
9,0.3003003003003003,9,2,car,1128,31,0.601600170135498,6.905087999999999,0
10,0.33366700033366703,1,2,car,1127,145,0.754503071308136,11.872357425347335,0
10,0.33366700033366703,2,2,car,1740,69,0.6929832696914673,28.695175557267465,0
10,0.33366700033366703,3,2,car,1015,84,0.7639951705932617,3.745170924590759,0
10,0.33366700033366703,4,2,car,1044,151,0.752690315246582,10.160846630552003,0
10,0.33366700033366703,5,2,car,984,52,0.7363326549530029,2.3976,0
10,0.33366700033366703,6,2,car,1037,49,0.5610575079917908,4.420955958161086,0
10,0.33366700033366703,7,2,car,1666,66,0.4451644718647003,32.25640901526393,0
10,0.33366700033366703,9,2,car,1128,31,0.5871086120605469,5.75424,0
11,0.3670337003670337,1,2,car,1129,147,0.7249775528907776,11.905333438961884,0
11,0.3670337003670337,2,2,car,1734,68,0.7134348750114441,28.450774668889135,0
11,0.3670337003670337,3,2,car,1016,85,0.752311110496521,3.9788603623449763,0
