frame,time_sec,track_id,class_id,class_name,center_x,center_y,conf,speed_kmh,exceeded
11,0.3670337003670337,4,2,car,1046,153,0.7407999038696289,8.54854521097011,0
11,0.3670337003670337,5,2,car,985,53,0.7237091660499573,2.3028196007503494,0
11,0.3670337003670337,6,2,car,1038,49,0.5673056244850159,3.667622755737018,0
11,0.3670337003670337,7,2,car,1660,65,0.45426231622695923,26.37904852810275,0
11,0.3670337003670337,9,2,car,1130,31,0.5839414596557617,5.137714285714286,0
12,0.4004004004004004,1,2,car,1133,150,0.7067784667015076,10.644572798511453,0
12,0.4004004004004004,2,2,car,1727,67,0.7011594772338867,23.86477872432493,0
12,0.4004004004004004,3,2,car,1017,86,0.7260946035385132,3.4754778546289904,0
12,0.4004004004004004,4,2,car,1047,155,0.7598716020584106,8.50058181818182,0
12,0.4004004004004004,5,2,car,985,53,0.6989569067955017,2.0934723643184996,0
12,0.4004004004004004,6,2,car,1040,50,0.5852592587471008,4.04409192871946,0
12,0.4004004004004004,7,2,car,1652,63,0.4667269289493561,26.67362004172377,0
12,0.4004004004004004,9,2,car,1132,31,0.5120133757591248,5.3946,0
13,0.4337671004337671,1,2,car,1137,154,0.7635073661804199,11.451520920820954,0
13,0.4337671004337671,2,2,car,1721,65,0.7304167151451111,23.750161372083348,0
13,0.4337671004337671,3,2,car,1019,88,0.7554919719696045,4.032051126907991,0
13,0.4337671004337671,4,2,car,1048,159,0.7231435179710388,9.0159404085209,0
13,0.4337671004337671,5,2,car,987,53,0.6521824598312378,2.4162586471650753,0
13,0.4337671004337671,6,2,car,1042,49,0.5720434784889221,4.238398046432166,0
13,0.4337671004337671,7,2,car,1644,61,0.5160814523696899,26.91966727357528,0
13,0.4337671004337671,9,2,car,1135,32,0.5597051382064819,6.007305232797814,0
14,0.4671338004671338,1,2,car,1138,158,0.7424217462539673,11.543141574819717,0
14,0.4671338004671338,2,2,car,1713,64,0.7600194215774536,24.150749733931782,0
14,0.4671338004671338,3,2,car,1020,89,0.7861998677253723,4.112640741758176,0
14,0.4671338004671338,4,2,car,1050,163,0.7148385047912598,9.555311698965069,0
14,0.4671338004671338,5,2,car,988,54,0.6807947158813477,2.6098745956406435,0
14,0.4671338004671338,6,2,car,1043,51,0.6086148619651794,4.294703221356119,0
14,0.4671338004671338,7,2,car,1637,60,0.4374570846557617,26.801858599616672,0
14,0.4671338004671338,9,2,car,1136,32,0.5787315964698792,5.765467796042226,0
15,0.5005005005005005,1,2,car,1142,163,0.7755592465400696,12.357244241830172,0
15,0.5005005005005005,2,2,car,1707,63,0.7532663941383362,23.988229534077583,0
15,0.5005005005005005,3,2,car,1021,91,0.7903642058372498,4.374606080458408,0
15,0.5005005005005005,4,2,car,1051,167,0.7144703269004822,9.922574421211957,0
15,0.5005005005005005,5,2,car,989,55,0.7558440566062927,2.778643844374005,0
15,0.5005005005005005,6,2,car,1045,52,0.7401077747344971,4.55202645467726,0
15,0.5005005005005005,7,2,car,1630,59,0.5140889883041382,26.701289843093683,0
15,0.5005005005005005,9,2,car,1139,32,0.3635867238044739,6.220561514023639,0
16,0.5338672005338673,1,2,car,1144,164,0.7751103043556213,12.038244307605655,0
16,0.5338672005338673,2,2,car,1705,63,0.7572247982025146,22.861590611748777,0
16,0.5338672005338673,3,2,car,1022,91,0.7899478673934937,4.241787409665882,0
16,0.5338672005338673,4,2,car,1052,168,0.7142527103424072,9.572401110191738,0
16,0.5338672005338673,5,2,car,990,55,0.7559509873390198,2.7960580526162184,0
16,0.5338672005338673,6,2,car,1045,52,0.739381730556488,4.248558024365443,0
16,0.5338672005338673,7,2,car,1628,59,0.5152486562728882,25.391931057751393,0
16,0.5338672005338673,9,2,car,1140,33,0.36791905760765076,6.023895447299861,0
17,0.5672339005672339,1,2,car,1146,167,0.8004512786865234,12.083616338093906,0
17,0.5672339005672339,2,2,car,1699,62,0.7708927392959595,22.799986505053567,0
17,0.5672339005672339,3,2,car,1023,92,0.7858863472938538,4.294320345307857,0
17,0.5672339005672339,4,2,car,1053,171,0.7367161512374878,9.683603356189263,0
17,0.5672339005672339,5,2,car,990,55,0.7606328725814819,2.621304424327705,0
17,0.5672339005672339,6,2,car,1047,53,0.6980119347572327,4.478610146923373,0
17,0.5672339005672339,7,2,car,1623,57,0.4123230576515198,24.994535297302985,0
17,0.5672339005672339,9,2,car,1142,33,0.45203545689582825,6.111313286494195,0
18,0.6006006006006006,1,2,car,1150,169,0.822891354560852,12.266422581438976,0
18,0.6006006006006006,2,2,car,1693,61,0.7503325343132019,22.74563075405912,0
18,0.6006006006006006,3,2,car,1024,93,0.7754845023155212,4.340703439938602,0
18,0.6006006006006006,4,2,car,1055,174,0.67514568567276,9.86163514626567,0
18,0.6006006006006006,5,2,car,991,56,0.7822607755661011,2.758312885890683,0
18,0.6006006006006006,6,2,car,1047,52,0.7351804971694946,4.156355821062518,0
18,0.6006006006006006,7,2,car,1617,57,0.4139433801174164,24.76976896605966,0
18,0.6006006006006006,9,2,car,1144,33,0.3501577079296112,6.186627249024087,0
19,0.6339673006339673,1,2,car,1153,173,0.8220014572143555,12.574707886865603,0
19,0.6339673006339673,2,2,car,1686,60,0.6553345322608948,22.894325174592936,0
19,0.6339673006339673,3,2,car,1026,95,0.7789595127105713,4.66437796495953,0
19,0.6339673006339673,4,2,car,1056,179,0.7013280391693115,10.314402871712934,0
19,0.6339673006339673,5,2,car,992,56,0.773543119430542,2.7757103090920707,0
19,0.6339673006339673,6,2,car,1048,53,0.688219428062439,4.1719464809606555,0
19,0.6339673006339673,7,2,car,1610,57,0.3387373983860016,24.768754000151077,0
19,0.6339673006339673,9,2,car,1146,34,0.33173978328704834,6.275119716467566,0
20,0.6673340006673341,1,2,car,1157,177,0.8330173492431641,13.283319494764854,0
20,0.6673340006673341,2,2,car,1680,58,0.5770118236541748,22.53492464686758,0
20,0.6673340006673341,3,2,car,1027,96,0.8134055137634277,4.803517785956455,0
20,0.6673340006673341,4,2,car,1058,184,0.7312712073326111,10.835351292874634,0
20,0.6673340006673341,5,2,car,993,57,0.706366240978241,3.049814636990255,0
20,0.6673340006673341,6,2,car,1050,53,0.6591137647628784,4.363697867634743,0
20,0.6673340006673341,7,2,car,1604,54,0.5018362998962402,24.450818371580123,0
20,0.6673340006673341,9,2,car,1148,34,0.2677704095840454,6.329721470619777,0
21,0.7007007007007007,1,2,car,1162,181,0.8090108036994934,14.139291365552943,0
21,0.7007007007007007,2,2,car,1673,56,0.5813232064247131,22.571210656054763,0
21,0.7007007007007007,3,2,car,1029,98,0.7909439206123352,5.086077655718599,0
21,0.7007007007007007,4,2,car,1059,188,0.7616292834281921,11.204843854333715,0
21,0.7007007007007007,5,2,car,994,57,0.6619534492492676,3.2216781962201,0
